id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJxxN8T-3EBZER-Y5e3SIK8xQ,https://www.google.com/maps/place/?q=place_id:ChIJxxN8T-3EBZER-Y5e3SIK8xQ,Polleria Muruhuay,Restaurante especializado en pollo,"San Antonio, Lurigancho-Chosica 15461",997 087 074,+51 997 087 074,,,"-11.9796202,-76.94198779999999",3.7,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
ChIJG2NHRm4LDpERSk2igWmA0Lc,https://www.google.com/maps/place/?q=place_id:ChIJG2NHRm4LDpERSk2igWmA0Lc,POLLERIA LA VILLA,Restaurante de comida tradicional americana,"Jirón Manco Capac 220, Huancavelica 09001",978 108 552,+51 978 108 552,facebook.com,https://www.facebook.com/LaVillaHuancavelica/,"-12.7858121,-74.9731351",4.1,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
ChIJwZLwdwALDpER7EAd40-pbSg,https://www.google.com/maps/place/?q=place_id:ChIJwZLwdwALDpER7EAd40-pbSg,Pollos y Parrilas ( A LA LEÑA),Restaurante especializado en pollo,"628H+9MW, Jr. Huayna Capac, Huancavelica 09001",,,,,"-12.784021899999999,-74.97080849999999",5,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
ChIJCTZjIQAXEJER3AWWxmNxxYg,https://www.google.com/maps/place/?q=place_id:ChIJCTZjIQAXEJER3AWWxmNxxYg,POLLERIA SANCHICKEN,Restaurante,"Calle Nueva, 11701",996 216 268,+51 996 216 268,,,"-13.4128999,-76.1423269",,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
ChIJU2wLMSALDpERgqoN7YisMy4,https://www.google.com/maps/place/?q=place_id:ChIJU2wLMSALDpERgqoN7YisMy4,Polleria CHANIN,Restaurante,"629J+5HG, Av. 28 de Abril, Huancavelica 09001",975 794 069,+51 975 794 069,,,"-12.7820574,-74.9685571",3.6,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
ChIJL9g7FQ0LDpERG6N2keLG7DE,https://www.google.com/maps/place/?q=place_id:ChIJL9g7FQ0LDpERG6N2keLG7DE,Pollería Mamá Berta,Restaurante especializado en pollo,"J1, Huancavelica 09001",,,,,"-12.782146299999999,-74.9687194",5,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
ChIJP-a0cJ8LDpERT2zHxkyQP7k,https://www.google.com/maps/place/?q=place_id:ChIJP-a0cJ8LDpERT2zHxkyQP7k,Pollería la plaza,Restaurante,"Jirón Manuel Ascencio Segura 186, Huancavelica 09001",,,,,"-12.7876456,-74.9733852",3,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
ChIJBe9JJ0ELDpERdZ_0l0AjHmA,https://www.google.com/maps/place/?q=place_id:ChIJBe9JJ0ELDpERdZ_0l0AjHmA,"Pollería Chifa ""Buda de Jade""",Restaurante,"Av, San Cristobal N°250, Huancavelica 09001",917 496 629,+51 917 496 629,,,"-12.783405199999999,-74.9715497",,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
ChIJZ9_i35wLDpER8H_5YjwToR0,https://www.google.com/maps/place/?q=place_id:ChIJZ9_i35wLDpER8H_5YjwToR0,Polleria Ccarhuarrazu,Restaurante,"Av. Celestino Manchego Muñoz, Huancavelica 09001",967 995 008,+51 967 995 008,,,"-12.786317799999999,-74.96890739999999",3.5,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
ChIJcV_pGwALDpER4kUBXUXkwJA,https://www.google.com/maps/place/?q=place_id:ChIJcV_pGwALDpER4kUBXUXkwJA,Pollería Huancayo II,Restaurante,"627G+385, Jr. Virrey Toledo 295, Huancavelica 09001",,,,,"-12.7874973,-74.9741513",3,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
ChIJwaAXNIwWEJERqpoxRx296_Q,https://www.google.com/maps/place/?q=place_id:ChIJwaAXNIwWEJERqpoxRx296_Q,Pollería Caldo del Rey,Restaurante,"Antigua Panamericana S 820, 11701",,,,,"-13.4157958,-76.1408877",3.3,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
ChIJB-yPxd0LDpER7rySFc2jQWo,https://www.google.com/maps/place/?q=place_id:ChIJB-yPxd0LDpER7rySFc2jQWo,NOSKYS BROASTERIA,Restaurante,"051, Huancavelica 05167",967 693 448,+51 967 693 448,,,"-12.788229,-74.9725121",3,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
ChIJiS1XDQA_EJERY0MjoW4yXqg,https://www.google.com/maps/place/?q=place_id:ChIJiS1XDQA_EJERY0MjoW4yXqg,RESTAURANT POLLERIA ALICIA,Restaurante,"Ca. Simon Bolivar 107, Alto Laran 11770",951 485 698,+51 951 485 698,,,"-13.4424204,-76.0823119",5,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
ChIJs17oB6MXEJERHbBPF091e0I,https://www.google.com/maps/place/?q=place_id:ChIJs17oB6MXEJERHbBPF091e0I,Pollería & Broasteria Luciana,Tienda de aves de corral,"HVQM+QVW, 11701",,,,,"-13.4105147,-76.1153045",,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
ChIJNehgs2IVEJER1-rrEDOCkGE,https://www.google.com/maps/place/?q=place_id:ChIJNehgs2IVEJER1-rrEDOCkGE,Pollería D'Panchito,Restaurante,"Av. Union con, 11703",960 851 744,+51 960 851 744,,,"-13.4019433,-76.1403911",5,,"Pollería en el distrito de San Antonio de Cusicancha, Huaytará, Huancavelica, Perú"
