id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJzfMgdfC5DpERkEFXl9IXu9Y,https://www.google.com/maps/place/?q=place_id:ChIJzfMgdfC5DpERkEFXl9IXu9Y,EL GRAN CHICKEN'S,Restaurante,"Jr. Bolivar 368, Concepción 12126",900 101 498,+51 900 101 498,,,"-11.9180142,-75.31326779999999",3.6,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJM8QZnAe5DpERdxKBF_HyPeI,https://www.google.com/maps/place/?q=place_id:ChIJM8QZnAe5DpERdxKBF_HyPeI,POLLOS A LA LEÑA AXEL,Tienda de aves de corral,"JR. PROGRESO Y CENTENARIO, Concepción 12125",935 585 131,+51 935 585 131,,,"-11.906094399999999,-75.32430169999999",,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJB4-e9GW5DpEREMVqcjBxUb4,https://www.google.com/maps/place/?q=place_id:ChIJB4-e9GW5DpEREMVqcjBxUb4,El Conquistador Pollos y Parrillas,Restaurante,"Jr. Bolivar 380, Concepción 12126",995 842 812,+51 995 842 812,,,"-11.918094799999999,-75.313305",3.6,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJVdlLm_S4DpERrvodzpUIkos,https://www.google.com/maps/place/?q=place_id:ChIJVdlLm_S4DpERrvodzpUIkos,Polleria El Tio Chinito Internacional,Restaurante,"3MMM+PMH, Jr. Bolognesi, Concepción 12126",931 525 799,+51 931 525 799,,,"-11.9156917,-75.31576179999999",3.5,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJu_Ij4li5DpERGGd9XNLEKyE,https://www.google.com/maps/place/?q=place_id:ChIJu_Ij4li5DpERGGd9XNLEKyE,Pollos y Parrillas Papa Jhon,Pollería,"12126, Concepción 12126",946 834 114,+51 946 834 114,,,"-11.9207442,-75.3204909",,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJFXneyPO4DpEROq4b0JxqhjU,https://www.google.com/maps/place/?q=place_id:ChIJFXneyPO4DpEROq4b0JxqhjU,Pollos y parrillas el Roble,Restaurante,"Jr. Bolivar 454, Concepción 12126",988 071 325,+51 988 071 325,,,"-11.9182601,-75.3140573",3.4,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJwY_kHHO5DpERuas_ZybPXOI,https://www.google.com/maps/place/?q=place_id:ChIJwY_kHHO5DpERuas_ZybPXOI,D'LIZIAS Pollos y Parrillas,Restaurante,"51, 12126",976 240 236,+51 976 240 236,,,"-11.9183791,-75.3176548",5,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJpeZH5hS5DpERNE4wOGRkNNc,https://www.google.com/maps/place/?q=place_id:ChIJpeZH5hS5DpERNE4wOGRkNNc,Pollería el roble,Carnicería,"Jr. Bolivar 525-407, Concepción 12126",974 706 706,+51 974 706 706,,,"-11.9185426,-75.3139954",4,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJayZvEJ65DpER69KC-G0o9zw,https://www.google.com/maps/place/?q=place_id:ChIJayZvEJ65DpER69KC-G0o9zw,Pollos Queen's,Restaurante de comida rápida,"Jr. Bolognesi 823, Concepción 12126",,,facebook.com,https://www.facebook.com/Pollos-Queens-101006199035566/,"-11.918039499999999,-75.3143848",4.2,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJyfrSO5e5DpER5cLjZtFhWRA,https://www.google.com/maps/place/?q=place_id:ChIJyfrSO5e5DpER5cLjZtFhWRA,Pollos y Parillas Montacanasta,Restaurante,"Jr. 9 de Julio 824, Concepción 12126",997 259 057,+51 997 259 057,,,"-11.9193398,-75.3131152",3,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJbxdTbo24DpERzKUMkk609-w,https://www.google.com/maps/place/?q=place_id:ChIJbxdTbo24DpERzKUMkk609-w,RESTAURANTE D'LOS ABUELOS POLLOS Y PARRILLAS,Restaurante,"Av. Ctra. Central 1683, Concepción 12126",,,,,"-11.920927299999999,-75.3199308",3.8,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJXy9SqEm5DpERHhdV1pNNHAw,https://www.google.com/maps/place/?q=place_id:ChIJXy9SqEm5DpERHhdV1pNNHAw,Club Aga(chicken-restobar-pizzas),Pollería,12125,,,,,"-11.9179613,-75.31375419999999",2.5,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJdz3QeNC5DpERsuMwBP1Krb8,https://www.google.com/maps/place/?q=place_id:ChIJdz3QeNC5DpERsuMwBP1Krb8,Pollería el faraón,Restaurante,"755 433, Concepción 12125",954 926 820,+51 954 926 820,,,"-11.909111999999999,-75.3190838",3,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJoxzwD3m5DpERHs6evWaxzUk,https://www.google.com/maps/place/?q=place_id:ChIJoxzwD3m5DpERHs6evWaxzUk,"Pollería ""El Sabroso""",Tienda de aves de corral,"Av. Mariscal Caceres 451, Concepción 12126",931 085 384,+51 931 085 384,,,"-11.9191529,-75.3134685",4,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJRYf1SPK4DpERQexfDFVdxk4,https://www.google.com/maps/place/?q=place_id:ChIJRYf1SPK4DpERQexfDFVdxk4,LA CHACRA,Granja avícola,"Av. Mariscal Caceres Nro. 535, Concepción 12126",989 153 023,+51 989 153 023,avicolalachacra.pe,http://avicolalachacra.pe/,"-11.9192897,-75.3137043",,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJLdH_VYm4DpER_AIS7AwNgGg,https://www.google.com/maps/place/?q=place_id:ChIJLdH_VYm4DpER_AIS7AwNgGg,Pollería Suki,,Concepción 12125,,,,,"-11.9161027,-75.32373559999999",,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJSxxQFwC_DpERYWfngy7yLIc,https://www.google.com/maps/place/?q=place_id:ChIJSxxQFwC_DpERYWfngy7yLIc,Pollos & parrillas GASTON,Restaurante especializado en pollo,"XPXX+M7M, Huancayo 12100",961 513 666,+51 961 513 666,,,"-12.000669,-75.25188399999999",5,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJJzsCoZK4DpERNSGHVd1EpbE,https://www.google.com/maps/place/?q=place_id:ChIJJzsCoZK4DpERNSGHVd1EpbE,Polleria El Sabroso,Restaurante,Concepción 12126,,,,,"-11.921941,-75.31914499999999",,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJz3qKbly4DpERgvpDTDUUrCA,https://www.google.com/maps/place/?q=place_id:ChIJz3qKbly4DpERgvpDTDUUrCA,La casa del Chef,Restaurante,"Avenida Ote., Concepción 12125",995 039 777,+51 995 039 777,lacasadelchef.com,http://lacasadelchef.com/,"-11.904648499999999,-75.31074699999999",4.2,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
ChIJT-0n1FK5DpERa8vxmx4kZho,https://www.google.com/maps/place/?q=place_id:ChIJT-0n1FK5DpERa8vxmx4kZho,Pollos y Parrillas el Cazador,Restaurante,"Jr. Mantaro, 12125",,,,,"-11.910212,-75.3348491",1,,"Pollería en el distrito de Mito, Concepción , Junín, Perú"
