id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJWZDPUuLCp5ERwIsxGEDzrEM,https://www.google.com/maps/place/?q=place_id:ChIJWZDPUuLCp5ERwIsxGEDzrEM,Pollería Carlos Huánuco,Pollería,"Jr. 28 de Julio 861, Huánuco 10001",(062) 513850,+51 62 513850,,,"-9.9305688,-76.2399161",3.8,,"Pollería en el distrito de Pueblo Nuevo, Leoncio Prado, Huánuco, Perú"
ChIJ3biLUTnDp5EREDAnbqwslYM,https://www.google.com/maps/place/?q=place_id:ChIJ3biLUTnDp5EREDAnbqwslYM,Pollería Mario's Huánuco,Restaurante especializado en pollo,"Jr. 28 de Julio 879, Huánuco 10001",962 519 438,+51 962 519 438,,,"-9.930429499999999,-76.2398333",4.2,,"Pollería en el distrito de Pueblo Nuevo, Leoncio Prado, Huánuco, Perú"
ChIJdRXZoUzDp5ERORdUx8OdrYw,https://www.google.com/maps/place/?q=place_id:ChIJdRXZoUzDp5ERORdUx8OdrYw,Pollería y restaurante Gerald,Tienda de aves de corral,"Jirón Crespo Castillo 525, Huánuco 10000",940 509 016,+51 940 509 016,,,"-9.9273914,-76.2398632",5,,"Pollería en el distrito de Pueblo Nuevo, Leoncio Prado, Huánuco, Perú"
ChIJk1wm75VyppERs_SDicPTsck,https://www.google.com/maps/place/?q=place_id:ChIJk1wm75VyppERs_SDicPTsck,Pueblo Nuevo,,10170,,,,,"-9.0793157,-76.0616727",,,"Pollería en el distrito de Pueblo Nuevo, Leoncio Prado, Huánuco, Perú"
ChIJqz9puufDp5ERe_o0Yu3Butk,https://www.google.com/maps/place/?q=place_id:ChIJqz9puufDp5ERe_o0Yu3Butk,Don Salvador,Restaurante especializado en pollo,"Esquina de, Leoncio Prado con, Huánuco 10001",931 477 469,+51 931 477 469,instagram.com,https://www.instagram.com/donsalvador.pe?igsh=M2o0aTI2ZGlla2Nt&utm_source=qr,"-9.9245349,-76.2425305",4.3,,"Pollería en el distrito de Pueblo Nuevo, Leoncio Prado, Huánuco, Perú"
ChIJyQddtyzDp5ERzbJj20jdASk,https://www.google.com/maps/place/?q=place_id:ChIJyQddtyzDp5ERzbJj20jdASk,"Pollos a la brasa - Chifa ""La Cabaña""",Restaurante especializado en pollo,"Jr. 28 de Julio 869, Huánuco 10001",(062) 513376,+51 62 513376,,,"-9.930462,-76.23986719999999",3.8,,"Pollería en el distrito de Pueblo Nuevo, Leoncio Prado, Huánuco, Perú"
ChIJKRgdV-LCp5ERan37BHqhThw,https://www.google.com/maps/place/?q=place_id:ChIJKRgdV-LCp5ERan37BHqhThw,"Restaurant - Chifa-Polleria ""LA PLAZA""",Tienda de aves de corral,,962 577 776,+51 962 577 776,facebook.com,https://www.facebook.com/Restaurante-Chifa-Polleria-La-Plaza-226831757760798/?fref=ts,"-9.891287,-76.2932629",4.3,,"Pollería en el distrito de Pueblo Nuevo, Leoncio Prado, Huánuco, Perú"
ChIJEQKNvP5zppERdRw5_WYGvvc,https://www.google.com/maps/place/?q=place_id:ChIJEQKNvP5zppERdRw5_WYGvvc,Pollería ARPI,Tienda de aves de corral,"Entrada a campo grande, Av. 9 de enero, Pueblo Nuevo 10170",929 449 436,+51 929 449 436,,,"-9.0787269,-76.0634304",,,"Pollería en el distrito de Pueblo Nuevo, Leoncio Prado, Huánuco, Perú"
ChIJm3Xj0ePCp5ER6TMYjH25yLE,https://www.google.com/maps/place/?q=place_id:ChIJm3Xj0ePCp5ER6TMYjH25yLE,Pollería Al Carbón Huánuco,Restaurante,"Jirón 2 de Mayo 938, Huánuco 10001",994 114 778,+51 994 114 778,,,"-9.931082,-76.2413746",3.8,,"Pollería en el distrito de Pueblo Nuevo, Leoncio Prado, Huánuco, Perú"
ChIJKyNMEtXDp5ERAXaZKDIllSk,https://www.google.com/maps/place/?q=place_id:ChIJKyNMEtXDp5ERAXaZKDIllSk,Miki's Chicken II,Restaurante,"Carr. al Aeropuerto, Huánuco 10000",952 255 869,+51 952 255 869,,,"-9.8893342,-76.2259949",4.2,,"Pollería en el distrito de Pueblo Nuevo, Leoncio Prado, Huánuco, Perú"
ChIJuaMKtU_Dp5ERWbLBtN3SqWY,https://www.google.com/maps/place/?q=place_id:ChIJuaMKtU_Dp5ERWbLBtN3SqWY,Polleria Super Pollo,Restaurante,"Jirón Huallayco 660, Huánuco 10001",,,,,"-9.931719099999999,-76.2444568",3.4,,"Pollería en el distrito de Pueblo Nuevo, Leoncio Prado, Huánuco, Perú"
ChIJpdZKdbDDp5ERfKwknf-hx2U,https://www.google.com/maps/place/?q=place_id:ChIJpdZKdbDDp5ERfKwknf-hx2U,Polleria Mikis,Tienda de aves de corral,"Av. Alfonso Ugarte 650, Huánuco 10001",962 536 942,+51 962 536 942,,,"-9.9203981,-76.23613879999999",4.8,,"Pollería en el distrito de Pueblo Nuevo, Leoncio Prado, Huánuco, Perú"
