id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJzXsEERINqZERAtnTO73TbbU,https://www.google.com/maps/place/?q=place_id:ChIJzXsEERINqZERAtnTO73TbbU,Pollería Santa Cruz,Restaurante,"Av. Fitzcarrald, Huaraz 02001",912 980 536,+51 912 980 536,,,"-9.5244162,-77.5284805",3,,"Pollería en el distrito de Huanchay, Huaraz, Áncash, Perú"
ChIJLyZk_hANqZERwe1dEXaViOA,https://www.google.com/maps/place/?q=place_id:ChIJLyZk_hANqZERwe1dEXaViOA,Pollos a la Brasa Roy Chicken Huaraz,Restaurante,"Jr, Jirón Juan de la Cruz Romero 529, Huaraz 02001",(043) 697480,+51 43 697480,,,"-9.527629,-77.53106489999999",3.6,,"Pollería en el distrito de Huanchay, Huaraz, Áncash, Perú"
ChIJa00WnhENqZERGWEvhfsGjEc,https://www.google.com/maps/place/?q=place_id:ChIJa00WnhENqZERGWEvhfsGjEc,Pollería Santa Cruz,Restaurante,"Jirón Juan de la Cruz Romero 415, Huaraz 02001",(043) 238598,+51 43 238598,,,"-9.5265062,-77.5303488",3.3,,"Pollería en el distrito de Huanchay, Huaraz, Áncash, Perú"
ChIJ6XdsqQgNqZER9LL1N5cJ4ac,https://www.google.com/maps/place/?q=place_id:ChIJ6XdsqQgNqZER9LL1N5cJ4ac,Polleria Nora buena pollos & parrillas,Restaurante peruano,"Esquina con, Av. Confraternidad Internacional Este, Huaraz 02001",950 818 598,+51 950 818 598,norabuenabrasa.ola.click,http://norabuenabrasa.ola.click/,"-9.530372,-77.5215126",3.7,,"Pollería en el distrito de Huanchay, Huaraz, Áncash, Perú"
ChIJ9SfjxhENqZER1uDkbjJx34w,https://www.google.com/maps/place/?q=place_id:ChIJ9SfjxhENqZER1uDkbjJx34w,Don Vito Pollo y Parrillas,Restaurante,"Av. Mariscal Toribio de Luzuriaga 483, Huaraz 02001",941 687 551,+51 941 687 551,donvito.pe,https://donvito.pe/,"-9.527134799999999,-77.52867119999999",3.8,,"Pollería en el distrito de Huanchay, Huaraz, Áncash, Perú"
ChIJnZ6_3BENqZERXsCwjvQ12aU,https://www.google.com/maps/place/?q=place_id:ChIJnZ6_3BENqZERXsCwjvQ12aU,El Granjero Polleria Criolla - Delivery Huaraz,Restaurante especializado en pollo,"Jr. Lucar y Torre 458, Huaraz 02001",928 948 457,+51 928 948 457,elgranjeroperu.com,https://elgranjeroperu.com/,"-9.5269247,-77.5281837",3.8,,"Pollería en el distrito de Huanchay, Huaraz, Áncash, Perú"
ChIJGcW48NoNqZER0Hr_5kAEpFg,https://www.google.com/maps/place/?q=place_id:ChIJGcW48NoNqZER0Hr_5kAEpFg,RapiPollo Huaraz,Pollería,"Av. Mariscal Toribio de Luzuriaga 653, Huaraz 02001",947 945 193,+51 947 945 193,,,"-9.528768399999999,-77.528983",3.9,,"Pollería en el distrito de Huanchay, Huaraz, Áncash, Perú"
ChIJSYC9xxENqZERTcnFKjjTPtk,https://www.google.com/maps/place/?q=place_id:ChIJSYC9xxENqZERTcnFKjjTPtk,Samuel's Restaurant,Restaurante,"Av. Mariscal Toribio de Luzuriaga 492, Huaraz 02001",(043) 422265,+51 43 422265,samuelsrestaurant.amawebs.com,http://samuelsrestaurant.amawebs.com/,"-9.5272576,-77.5289274",3.5,,"Pollería en el distrito de Huanchay, Huaraz, Áncash, Perú"
ChIJZTcKeXsNqZERu-tpuqQbs28,https://www.google.com/maps/place/?q=place_id:ChIJZTcKeXsNqZERu-tpuqQbs28,EL LEÑADOR,Restaurante,"Av. Centenario 488, Huaraz 02002",983 003 573,+51 983 003 573,facebook.com,https://www.facebook.com/LeniadorHuaraz/,"-9.5198919,-77.5293971",4,,"Pollería en el distrito de Huanchay, Huaraz, Áncash, Perú"
ChIJ91TQlQ4NqZERcqkH9QtSbY0,https://www.google.com/maps/place/?q=place_id:ChIJ91TQlQ4NqZERcqkH9QtSbY0,Pollería Diana,Restaurante,"FFFG+GJG, Jr Panamá, Lima 02001",920 195 937,+51 920 195 937,,,"-9.5261794,-77.5234102",3.6,,"Pollería en el distrito de Huanchay, Huaraz, Áncash, Perú"
