id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJZzL_I54a6pERHsvp2bHQX_s,https://www.google.com/maps/place/?q=place_id:ChIJZzL_I54a6pERHsvp2bHQX_s,Polleria La Granja,Restaurante,"Yavari 1100, Iquitos 16002",(065) 235143,+51 65 235143,,,"-3.7406227999999997,-73.2489475",4.1,,"Pollería en el distrito de Tigre, Loreto , Loreto, Perú"
ChIJ58TCIk4R6pER1x3aFXmM-oY,https://www.google.com/maps/place/?q=place_id:ChIJ58TCIk4R6pER1x3aFXmM-oY,Polleria LA GRANJA,Restaurante especializado en pollo,"Av. del Ejército 1999, Iquitos 16001",(065) 263518,+51 65 263518,,,"-3.7516395,-73.26599639999999",4.1,,"Pollería en el distrito de Tigre, Loreto , Loreto, Perú"
ChIJkTTsZAAR6pERT4r-7Yd6EwI,https://www.google.com/maps/place/?q=place_id:ChIJkTTsZAAR6pERT4r-7Yd6EwI,Polleria Lider Chicken,Restaurante especializado en pollo,"Jirón Putumayo 900, Iquitos 16002",998 317 353,+51 998 317 353,,,"-3.745039,-73.249837",,,"Pollería en el distrito de Tigre, Loreto , Loreto, Perú"
ChIJAYNS_HAQ6pERpDRiBsZQmpg,https://www.google.com/maps/place/?q=place_id:ChIJAYNS_HAQ6pERpDRiBsZQmpg,Polleria Rico Rico,Restaurante,"Jirón Nauta 301, Iquitos 16002",968 207 424,+51 968 207 424,,,"-3.7477611,-73.2440711",3.9,,"Pollería en el distrito de Tigre, Loreto , Loreto, Perú"
ChIJ8x2DDHEQ6pERr-7r31c9cz8,https://www.google.com/maps/place/?q=place_id:ChIJ8x2DDHEQ6pERr-7r31c9cz8,Rancho Brasa,Restaurante especializado en pollo,"Huallaga 116, Iquitos 16001",(065) 234040,+51 65 234040,,,"-3.7479308999999996,-73.2454637",3.9,,"Pollería en el distrito de Tigre, Loreto , Loreto, Perú"
ChIJUbryBDwQ6pER-7A-R0HJK40,https://www.google.com/maps/place/?q=place_id:ChIJUbryBDwQ6pER-7A-R0HJK40,Polleria El Trinchero,Restaurante,"Av. José Abelardo Quiñones 285, Iquitos 16006",(065) 267676,+51 65 267676,,,"-3.7651538999999996,-73.2592957",4.2,,"Pollería en el distrito de Tigre, Loreto , Loreto, Perú"
ChIJAR5_M3AQ6pERFsRQ7zieJTs,https://www.google.com/maps/place/?q=place_id:ChIJAR5_M3AQ6pERFsRQ7zieJTs,El Pollón,Restaurante,"Jirón Próspero 151, Iquitos 16002",(065) 242985,+51 65 242985,,,"-3.7497518999999997,-73.2439267",4,,"Pollería en el distrito de Tigre, Loreto , Loreto, Perú"
ChIJibYHVpAa6pERj_0P_LioIDo,https://www.google.com/maps/place/?q=place_id:ChIJibYHVpAa6pERj_0P_LioIDo,Polleria Dandy,Restaurante,"Augusto Freyre 1850, Iquitos 16003",(065) 252278,+51 65 252278,,,"-3.7284629,-73.2438995",4.1,,"Pollería en el distrito de Tigre, Loreto , Loreto, Perú"
ChIJEartU3IQ6pERkykpi6Gh42s,https://www.google.com/maps/place/?q=place_id:ChIJEartU3IQ6pERkykpi6Gh42s,Ming Llu Polleria,Restaurante,"7Q22+J62, Iquitos 16002",918 752 353,+51 918 752 353,,,"-3.7484843,-73.2494813",4.1,,"Pollería en el distrito de Tigre, Loreto , Loreto, Perú"
ChIJJcwNqoYP6pERJzV3CnfHgWg,https://www.google.com/maps/place/?q=place_id:ChIJJcwNqoYP6pERJzV3CnfHgWg,Pollería La Granja - San Juan,Restaurante especializado en pollo,Iquitos 16008,(065) 260208,+51 65 260208,,,"-3.7699632999999997,-73.2808587",3.9,,"Pollería en el distrito de Tigre, Loreto , Loreto, Perú"
ChIJ0YTVZmAR6pERhRbLt4WDDME,https://www.google.com/maps/place/?q=place_id:ChIJ0YTVZmAR6pERhRbLt4WDDME,Kikiriki,Restaurante especializado en pollo,"6PRX+H2F, Iquitos 16001",(065) 227272,+51 65 227272,,,"-3.7585583999999996,-73.2524639",4,,"Pollería en el distrito de Tigre, Loreto , Loreto, Perú"
